Time,Metamon,Kiss_Land,New_Harvard_N_Land,MUSK_USM_Land
07/01/2022 01:16:58,339988,360000,719999,1156789
07/01/2022 01:18:25,339988,360000,719999,1156789
07/01/2022 01:21:10,339988,360000,719999,1156789
07/01/2022 01:22:00,339988,360000,719999,1156789
07/01/2022 01:23:27,339988,360000,719999,1156789
07/01/2022 01:26:10,339988,360000,719999,1156789
07/01/2022 01:27:02,339988,360000,719999,1156789
07/01/2022 01:28:29,339988,360000,719999,1156789
07/01/2022 01:31:10,339988,360000,719999,1156789
07/01/2022 01:32:04,339988,360000,719999,1156789
07/01/2022 01:33:31,339988,360000,719999,1156789
07/01/2022 01:36:10,340000,360000,719999,1156789
07/01/2022 01:37:06,340000,360000,719999,1156789
07/01/2022 01:38:33,347000,349999,719999,1156789
07/01/2022 01:41:10,347000,360000,719999,1156789
07/01/2022 01:42:08,348880,360000,719999,1156789
07/01/2022 01:43:35,348880,360000,719999,1156789
07/01/2022 01:46:10,348880,360000,719999,1156789
07/01/2022 01:47:10,348880,360000,719999,1156789
07/01/2022 01:48:37,348880,360000,719999,1156789
07/01/2022 01:51:10,348880,360000,719999,1156789
07/01/2022 01:52:12,348880,360000,719999,1156789
07/01/2022 01:53:39,348880,360000,719999,1156789
07/01/2022 01:56:11,347000,360000,719999,1156789
07/01/2022 01:57:14,347000,360000,719999,1156789
07/01/2022 01:58:41,347000,360000,719999,1156789
07/01/2022 02:01:11,347000,360000,719999,1156789
07/01/2022 02:02:16,347000,360000,719999,1156789
07/01/2022 02:03:43,347000,360000,719999,1156789
07/01/2022 02:06:11,347000,360000,719999,1156789
07/01/2022 02:07:18,347000,360000,719999,1156789
07/01/2022 02:08:45,339999,360000,719999,1156789
07/01/2022 02:11:11,339999,360000,719999,1156789
07/01/2022 02:12:20,339999,360000,719999,1156789
07/01/2022 02:13:47,339999,360000,719999,1156789
07/01/2022 02:16:11,339999,360000,719999,1156789
07/01/2022 02:17:22,339999,360000,719999,1156789
07/01/2022 02:18:49,339999,360000,719999,1156789
07/01/2022 02:21:11,339999,360000,719999,1156789
07/01/2022 02:22:24,339999,360000,719999,1156789
07/01/2022 02:23:51,339999,360000,719999,1156789
07/01/2022 02:26:11,337777,360000,719999,1156789
07/01/2022 02:27:26,337777,360000,719999,1156789
07/01/2022 02:28:53,337777,360000,719999,1156789
07/01/2022 02:31:11,337777,360000,719999,1156789
07/01/2022 02:32:28,337777,360000,719999,1156789
07/01/2022 02:33:55,347000,360000,719999,1156789
07/01/2022 02:36:11,348880,360000,719999,1156789
07/01/2022 02:37:30,348880,360000,719999,1156789
07/01/2022 02:38:57,349990,360000,719999,1156789
07/01/2022 02:41:11,349990,360000,719999,1156789
07/01/2022 02:42:32,349990,360000,719999,1156789
07/01/2022 02:43:59,349990,363000,719999,1156789
07/01/2022 02:46:11,349990,363000,719999,1156789
07/01/2022 02:47:34,349990,363000,719999,1156789
07/01/2022 02:49:01,349990,363000,719999,1156789
07/01/2022 02:51:11,349990,363000,719999,1156789
07/01/2022 02:52:36,349990,363000,719999,1156789
07/01/2022 02:54:03,349990,363000,719999,1156789
07/01/2022 02:56:11,349990,363000,719999,1156789
07/01/2022 02:57:38,349990,363000,719999,1156789
07/01/2022 02:59:05,349990,363000,719999,1156789
07/01/2022 03:01:11,349990,364000,719999,1156789
07/01/2022 03:02:40,349990,362000,719999,1156789
07/01/2022 03:04:07,349990,362000,719999,1156789
07/01/2022 03:06:11,349990,362000,719999,1156789
07/01/2022 03:07:42,349990,362000,719999,1156789
07/01/2022 03:09:09,349500,363000,719999,1156789
07/01/2022 03:11:11,349500,365000,719999,1156789
07/01/2022 03:12:44,349500,365000,719999,1156789
07/01/2022 03:14:11,349500,365000,719999,1156789
07/01/2022 03:16:11,349500,365000,719999,1156789
07/01/2022 03:17:46,349500,365000,719999,1156789
07/01/2022 03:19:13,349500,365000,719999,1150000
07/01/2022 03:21:11,349500,365000,719999,1150000
07/01/2022 03:22:48,349500,365000,719999,1150000
07/01/2022 03:24:15,349500,365000,719999,1150000
07/01/2022 03:26:12,349500,365000,719999,1150000
07/01/2022 03:27:50,349500,365000,719999,1150000
07/01/2022 03:29:17,349500,365000,719999,1150000
07/01/2022 03:31:12,349500,365000,719999,1110000
07/01/2022 03:32:52,349500,364000,719999,1110000
07/01/2022 03:34:19,335500,364000,719999,1110000
07/01/2022 03:36:12,349500,364000,719999,1110000
07/01/2022 03:37:54,349500,364000,719999,1110000
07/01/2022 03:39:21,349500,364000,720000,1110000
07/01/2022 03:41:12,349500,365000,720000,1110000
07/01/2022 03:42:56,349500,365000,720000,1110000
07/01/2022 03:44:23,349500,365000,720000,1110000
07/01/2022 03:46:12,349500,365000,720000,1110000
07/01/2022 03:47:58,349500,367000,720000,1110000
07/01/2022 03:49:25,349500,367000,720000,1110000
07/01/2022 03:51:12,349500,367000,720000,1110000
07/01/2022 03:53:00,349000,367000,720000,1110000
07/01/2022 03:54:27,349500,367000,720000,1110000
07/01/2022 03:56:12,349500,367000,720000,1110000
07/01/2022 03:58:02,349500,367000,720000,1110000
07/01/2022 03:59:29,349500,367000,720000,1110000
07/01/2022 04:01:12,349500,367000,720000,1110000
07/01/2022 04:03:04,349500,367000,720000,1110000
07/01/2022 04:04:31,349500,367000,720000,1110000
07/01/2022 04:06:12,349500,368000,720000,1110000
07/01/2022 04:08:06,349500,365111,720000,1110000
07/01/2022 04:09:33,349500,365111,720000,1110000
07/01/2022 04:11:12,349500,365111,720000,1110000
07/01/2022 04:13:08,340000,365111,720000,1110000
07/01/2022 04:14:35,340000,365111,720000,1110000
07/01/2022 04:16:12,340000,365111,720000,1110000
07/01/2022 04:18:10,340000,365111,720000,1110000
07/01/2022 04:19:37,340000,365111,720000,1110000
07/01/2022 04:21:12,340000,365111,720000,1110000
07/01/2022 04:23:12,340000,365111,720000,1110000
07/01/2022 04:24:39,340000,365111,720000,1110000
07/01/2022 04:26:12,340000,365111,720000,1110000
07/01/2022 04:28:14,340000,365111,720000,1110000
07/01/2022 04:29:41,340000,365111,720000,1110000
07/01/2022 04:31:12,340000,365111,720000,1110000
07/01/2022 04:33:16,340000,365111,720000,1110000
07/01/2022 04:34:43,347300,365111,720000,1110000
07/01/2022 04:36:13,347300,365111,720000,1110000
07/01/2022 04:38:18,347300,365111,720000,1110000
07/01/2022 04:39:45,347300,365111,720000,1110000
07/01/2022 04:41:13,347300,365111,720000,1110000
